province,alert_date,alert_type,lead_time_days
azuay,1991-07-23,Calor extremo,50
azuay,1991-07-19,Calor extremo,45
azuay,1991-07-20,Calor extremo,45
azuay,1991-07-23,Calor extremo,47
azuay,1991-06-22,Calor extremo,15
azuay,1991-06-23,Calor extremo,15
azuay,1991-07-24,Calor extremo,38
azuay,1991-12-26,Calor extremo,29
azuay,1991-12-27,Calor extremo,29
azuay,1991-12-09,Calor extremo,10
azuay,1992-02-21,Calor extremo,41
azuay,1992-02-27,Calor extremo,41
azuay,1992-03-03,Calor extremo,45
azuay,1992-02-26,Calor extremo,38
azuay,1992-02-17,Calor extremo,16
azuay,1992-02-02,Calor extremo,0
azuay,1992-04-10,Calor extremo,31
azuay,1992-04-11,Calor extremo,31
azuay,1992-04-12,Calor extremo,31
azuay,1992-06-23,Calor extremo,27
azuay,1992-06-24,Calor extremo,27
azuay,1992-06-25,Calor extremo,27
azuay,1992-06-26,Calor extremo,27
azuay,1993-06-23,Calor extremo,43
azuay,1993-06-26,Calor extremo,43
azuay,1993-07-14,Calor extremo,13
azuay,1993-07-24,Calor extremo,22
azuay,1993-07-16,Calor extremo,13
azuay,1994-06-24,Calor extremo,2
azuay,1994-12-24,Calor extremo,1
azuay,1995-06-25,Calor extremo,50
azuay,1997-08-03,Calor extremo,60
azuay,1997-08-04,Calor extremo,60
azuay,1997-08-05,Calor extremo,60
azuay,1997-08-04,Calor extremo,57
azuay,1997-08-07,Calor extremo,57
azuay,1997-08-11,Calor extremo,60
azuay,1997-08-23,Calor extremo,49
azuay,1997-07-08,Calor extremo,1
azuay,1997-07-19,Calor extremo,7
azuay,1997-08-31,Calor extremo,49
azuay,1997-09-01,Calor extremo,49
azuay,1997-09-02,Calor extremo,49
azuay,1997-09-04,Calor extremo,49
azuay,1997-09-05,Calor extremo,49
azuay,1997-09-06,Calor extremo,49
azuay,1997-09-07,Calor extremo,49
azuay,1997-09-08,Calor extremo,49
azuay,1997-09-09,Calor extremo,49
azuay,1997-09-10,Calor extremo,49
azuay,1997-09-11,Calor extremo,49
azuay,1997-09-12,Calor extremo,49
azuay,1997-09-16,Calor extremo,52
azuay,1997-09-17,Calor extremo,52
azuay,1997-09-14,Calor extremo,46
azuay,1997-09-15,Calor extremo,46
azuay,1997-09-16,Calor extremo,46
azuay,1997-09-17,Calor extremo,46
azuay,1997-09-18,Calor extremo,46
azuay,1997-09-19,Calor extremo,46
azuay,1997-09-20,Calor extremo,46
azuay,1997-09-20,Calor extremo,45
azuay,1997-09-21,Calor extremo,45
azuay,1997-09-22,Calor extremo,45
azuay,1997-09-25,Calor extremo,46
azuay,1997-09-25,Calor extremo,45
azuay,1997-09-28,Calor extremo,45
azuay,1997-09-30,Calor extremo,46
azuay,1997-10-07,Calor extremo,52
azuay,1997-10-08,Calor extremo,52
azuay,1997-09-15,Calor extremo,28
azuay,1997-09-16,Calor extremo,28
azuay,1997-09-25,Calor extremo,36
azuay,1997-09-27,Calor extremo,37
azuay,1997-09-28,Calor extremo,37
azuay,1997-10-14,Calor extremo,52
azuay,1997-10-15,Calor extremo,52
azuay,1997-09-30,Calor extremo,36
azuay,1997-10-01,Calor extremo,36
azuay,1997-10-18,Calor extremo,52
azuay,1997-10-19,Calor extremo,52
azuay,1997-10-20,Calor extremo,52
azuay,1997-10-26,Calor extremo,55
azuay,1997-10-25,Calor extremo,51
azuay,1997-10-27,Calor extremo,52
azuay,1997-10-28,Calor extremo,52
