province,alert_date,alert_type,lead_time_days
azuay,1990-07-16,Evento Extremo de Temperatura leve,17
azuay,1990-06-30,Evento Extremo de Temperatura leve,0
azuay,1990-07-01,Evento Extremo de Temperatura leve,0
azuay,1990-07-02,Evento Extremo de Temperatura leve,0
azuay,1990-07-03,Evento Extremo de Temperatura leve,0
azuay,1990-07-04,Evento Extremo de Temperatura leve,0
azuay,1990-07-05,Evento Extremo de Temperatura leve,0
azuay,1990-07-06,Evento Extremo de Temperatura leve,0
azuay,1990-07-07,Evento Extremo de Temperatura leve,0
azuay,1990-08-04,Evento Extremo de Temperatura moderado,27
azuay,1990-08-05,Evento Extremo de Temperatura fuerte,27
azuay,1990-08-01,Evento Extremo de Temperatura moderado,22
azuay,1990-09-06,Evento Extremo de Temperatura leve,57
azuay,1990-09-07,Evento Extremo de Temperatura leve,57
azuay,1990-08-24,Evento Extremo de Temperatura leve,42
azuay,1990-08-13,Evento Extremo de Temperatura leve,30
azuay,1990-09-11,Evento Extremo de Temperatura leve,58
azuay,1990-09-12,Evento Extremo de Temperatura leve,58
azuay,1990-09-12,Evento Extremo de Temperatura leve,57
azuay,1990-09-13,Evento Extremo de Temperatura leve,57
azuay,1990-09-14,Evento Extremo de Temperatura leve,57
azuay,1990-09-15,Evento Extremo de Temperatura leve,57
azuay,1990-09-16,Evento Extremo de Temperatura leve,57
azuay,1990-09-10,Evento Extremo de Temperatura leve,50
azuay,1990-09-11,Evento Extremo de Temperatura leve,50
azuay,1990-09-12,Evento Extremo de Temperatura leve,50
azuay,1990-09-13,Evento Extremo de Temperatura leve,50
azuay,1990-09-08,Evento Extremo de Temperatura leve,44
azuay,1990-09-09,Evento Extremo de Temperatura leve,44
azuay,1990-09-09,Evento Extremo de Temperatura leve,43
azuay,1990-09-10,Evento Extremo de Temperatura leve,43
azuay,1990-09-18,Evento Extremo de Temperatura leve,50
azuay,1990-09-18,Evento Extremo de Temperatura leve,49
azuay,1990-08-14,Evento Extremo de Temperatura leve,13
azuay,1990-08-15,Evento Extremo de Temperatura leve,13
azuay,1990-08-16,Evento Extremo de Temperatura leve,13
azuay,1990-08-17,Evento Extremo de Temperatura leve,13
azuay,1990-08-18,Evento Extremo de Temperatura leve,13
azuay,1990-08-19,Evento Extremo de Temperatura leve,13
azuay,1990-08-20,Evento Extremo de Temperatura leve,13
azuay,1990-08-21,Evento Extremo de Temperatura leve,13
azuay,1990-08-22,Evento Extremo de Temperatura leve,13
azuay,1990-08-24,Evento Extremo de Temperatura leve,14
azuay,1990-08-24,Evento Extremo de Temperatura leve,13
azuay,1990-08-22,Evento Extremo de Temperatura leve,10
azuay,1990-08-24,Evento Extremo de Temperatura leve,11
azuay,1990-08-24,Evento Extremo de Temperatura leve,10
azuay,1990-08-26,Evento Extremo de Temperatura leve,11
azuay,1990-09-01,Evento Extremo de Temperatura leve,11
azuay,1990-09-02,Evento Extremo de Temperatura leve,11
azuay,1990-10-19,Evento Extremo de Temperatura leve,26
azuay,1990-10-30,Evento Extremo de Temperatura leve,33
azuay,1990-10-31,Evento Extremo de Temperatura fuerte,33
azuay,1990-10-31,Evento Extremo de Temperatura extremo,32
azuay,1990-11-01,Evento Extremo de Temperatura fuerte,32
azuay,1990-11-02,Evento Extremo de Temperatura leve,32
azuay,1990-11-03,Evento Extremo de Temperatura leve,32
azuay,1990-10-30,Evento Extremo de Temperatura leve,27
azuay,1990-10-31,Evento Extremo de Temperatura leve,27
azuay,1990-10-30,Evento Extremo de Temperatura leve,25
azuay,1990-10-31,Evento Extremo de Temperatura leve,25
azuay,1990-11-01,Evento Extremo de Temperatura leve,25
azuay,1990-11-02,Evento Extremo de Temperatura leve,25
azuay,1990-11-05,Evento Extremo de Temperatura extremo,27
azuay,1990-11-04,Evento Extremo de Temperatura leve,25
azuay,1990-11-05,Evento Extremo de Temperatura leve,25
azuay,1990-10-28,Evento Extremo de Temperatura leve,16
azuay,1990-10-29,Evento Extremo de Temperatura leve,16
azuay,1990-10-30,Evento Extremo de Temperatura leve,16
azuay,1990-10-31,Evento Extremo de Temperatura moderado,16
azuay,1990-11-01,Evento Extremo de Temperatura leve,16
azuay,1990-10-31,Evento Extremo de Temperatura leve,14
azuay,1990-11-03,Evento Extremo de Temperatura leve,16
azuay,1990-11-03,Evento Extremo de Temperatura leve,15
azuay,1990-11-03,Evento Extremo de Temperatura leve,14
azuay,1990-11-05,Evento Extremo de Temperatura leve,15
azuay,1990-11-06,Evento Extremo de Temperatura leve,15
azuay,1990-11-07,Evento Extremo de Temperatura leve,15
azuay,1990-11-07,Evento Extremo de Temperatura leve,14
azuay,1990-11-08,Evento Extremo de Temperatura leve,14
azuay,1990-12-20,Evento Extremo de Temperatura leve,55
azuay,1990-12-21,Evento Extremo de Temperatura leve,55
azuay,1990-11-11,Evento Extremo de Temperatura leve,14
azuay,1990-12-23,Evento Extremo de Temperatura leve,55
azuay,1990-12-24,Evento Extremo de Temperatura leve,55
azuay,1990-11-13,Evento Extremo de Temperatura leve,13
azuay,1990-11-14,Evento Extremo de Temperatura fuerte,13
azuay,1990-11-16,Evento Extremo de Temperatura leve,14
azuay,1990-11-17,Evento Extremo de Temperatura leve,14
azuay,1990-11-18,Evento Extremo de Temperatura leve,14
azuay,1990-11-19,Evento Extremo de Temperatura leve,14
azuay,1990-11-20,Evento Extremo de Temperatura leve,14
azuay,1990-11-21,Evento Extremo de Temperatura leve,14
azuay,1990-11-21,Evento Extremo de Temperatura moderado,13
azuay,1990-11-22,Evento Extremo de Temperatura moderado,13
azuay,1990-11-23,Evento Extremo de Temperatura leve,13
azuay,1990-11-24,Evento Extremo de Temperatura fuerte,13
azuay,1990-11-29,Evento Extremo de Temperatura extremo,13
azuay,1990-11-22,Evento Extremo de Temperatura extremo,5
azuay,1991-01-27,Evento Extremo de Temperatura leve,54
azuay,1990-12-11,Evento Extremo de Temperatura leve,6
azuay,1990-12-14,Evento Extremo de Temperatura leve,8
azuay,1991-01-31,Evento Extremo de Temperatura leve,53
azuay,1990-12-18,Evento Extremo de Temperatura leve,8
azuay,1990-12-19,Evento Extremo de Temperatura leve,8
azuay,1990-12-20,Evento Extremo de Temperatura leve,8
azuay,1990-12-21,Evento Extremo de Temperatura leve,8
azuay,1991-01-17,Evento Extremo de Temperatura fuerte,34
azuay,1991-01-13,Evento Extremo de Temperatura moderado,28
azuay,1991-01-14,Evento Extremo de Temperatura leve,28
azuay,1991-01-15,Evento Extremo de Temperatura moderado,28
azuay,1991-01-16,Evento Extremo de Temperatura fuerte,28
azuay,1991-01-23,Evento Extremo de Temperatura moderado,34
azuay,1991-01-24,Evento Extremo de Temperatura extremo,34
azuay,1991-01-25,Evento Extremo de Temperatura leve,34
azuay,1991-01-26,Evento Extremo de Temperatura leve,34
azuay,1991-01-27,Evento Extremo de Temperatura leve,34
azuay,1991-01-28,Evento Extremo de Temperatura leve,34
azuay,1991-01-29,Evento Extremo de Temperatura leve,34
azuay,1991-01-30,Evento Extremo de Temperatura leve,34
azuay,1991-01-14,Evento Extremo de Temperatura leve,17
azuay,1991-01-15,Evento Extremo de Temperatura leve,17
azuay,1991-02-02,Evento Extremo de Temperatura leve,34
azuay,1991-02-03,Evento Extremo de Temperatura leve,34
azuay,1991-02-04,Evento Extremo de Temperatura leve,34
azuay,1991-02-05,Evento Extremo de Temperatura leve,34
azuay,1991-02-06,Evento Extremo de Temperatura leve,34
azuay,1991-02-07,Evento Extremo de Temperatura leve,34
azuay,1991-01-22,Evento Extremo de Temperatura leve,17
azuay,1991-01-22,Evento Extremo de Temperatura moderado,16
azuay,1991-01-23,Evento Extremo de Temperatura moderado,16
azuay,1991-01-24,Evento Extremo de Temperatura moderado,16
azuay,1991-01-26,Evento Extremo de Temperatura moderado,17
azuay,1991-01-27,Evento Extremo de Temperatura leve,17
azuay,1991-01-28,Evento Extremo de Temperatura leve,17
azuay,1991-01-28,Evento Extremo de Temperatura moderado,16
azuay,1991-01-29,Evento Extremo de Temperatura leve,16
azuay,1991-01-30,Evento Extremo de Temperatura leve,16
azuay,1991-01-31,Evento Extremo de Temperatura leve,16
azuay,1991-02-01,Evento Extremo de Temperatura leve,16
azuay,1991-02-03,Evento Extremo de Temperatura leve,17
azuay,1991-02-04,Evento Extremo de Temperatura leve,17
azuay,1991-02-05,Evento Extremo de Temperatura leve,17
azuay,1991-02-06,Evento Extremo de Temperatura leve,17
azuay,1991-02-07,Evento Extremo de Temperatura leve,17
azuay,1991-02-08,Evento Extremo de Temperatura leve,17
azuay,1991-03-09,Evento Extremo de Temperatura leve,45
azuay,1991-03-10,Evento Extremo de Temperatura leve,45
azuay,1991-03-11,Evento Extremo de Temperatura leve,45
azuay,1991-03-12,Evento Extremo de Temperatura leve,45
azuay,1991-03-13,Evento Extremo de Temperatura leve,45
azuay,1991-03-14,Evento Extremo de Temperatura leve,45
azuay,1991-03-15,Evento Extremo de Temperatura moderado,45
azuay,1991-03-17,Evento Extremo de Temperatura moderado,46
azuay,1991-03-18,Evento Extremo de Temperatura leve,46
azuay,1991-03-18,Evento Extremo de Temperatura leve,45
azuay,1991-03-17,Evento Extremo de Temperatura leve,43
azuay,1991-03-19,Evento Extremo de Temperatura leve,44
azuay,1991-03-20,Evento Extremo de Temperatura leve,44
azuay,1991-03-22,Evento Extremo de Temperatura leve,45
azuay,1991-03-23,Evento Extremo de Temperatura leve,45
azuay,1991-03-24,Evento Extremo de Temperatura leve,45
azuay,1991-03-25,Evento Extremo de Temperatura leve,45
azuay,1991-03-25,Evento Extremo de Temperatura moderado,44
azuay,1991-03-26,Evento Extremo de Temperatura extremo,44
azuay,1991-03-27,Evento Extremo de Temperatura fuerte,44
